order,Date,Time,Cumulative.hrs,Timepoint,Treatment,Treatment,Boat,Parentage,Well,Alive,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook,lifestage,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low,Zoox,Tank,TotalMom,TotalDad
100,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellD,12,60,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
101,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellE,12,60,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
102,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellF,15,75,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
103,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellA,15,75,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
104,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellB,11,55,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
105,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellC,9,45,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
106,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellD,14,70,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
107,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellE,10,50,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
108,7.12.18,8:30,56,4,35.5C,Hot,113,LSxDR,wellF,14,70,Long Sandy,Davies,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
109,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellA,2,10,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
110,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellB,4,20,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
111,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellC,1,5,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
112,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellD,1,5,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
113,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellE,3,15,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
114,7.12.18,8:30,56,4,35.5C,Hot,124,LSxLS,wellF,0,0,Long Sandy,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
115,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellA,13,65,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
116,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellB,15,75,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
117,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellC,16,80,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
118,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellD,18,90,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
119,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellE,14,70,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
120,7.12.18,8:30,56,4,35.5C,Hot,132,CUxSB,wellF,19,95,Curd,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,2,5
121,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellA,13,65,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
122,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellB,17,85,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
123,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellC,19,95,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
124,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellD,0,0,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
125,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellE,4,20,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
126,7.12.18,8:30,56,4,35.5C,Hot,147,DRxLS,wellF,5,25,Davies,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
127,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellA,8,40,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
128,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellB,10,50,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
129,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellC,9,45,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
130,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellD,8,40,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
131,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellE,11,55,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
132,7.12.18,8:30,56,4,35.5C,Hot,148,DRxSB,wellF,12,60,Davies,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,3
133,7.12.18,8:30,56,4,35.5C,Hot,152,LSxCU,wellA,9,45,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
